sysname Tnuc
GRA_13 203.0
GRA_14 202.78
GRA_15 207.48
GRA_16 208.42
GRA_17 208.3
GRA_18 206.12
GRA_19 209.98
GRA_20 216.06
GRAO_1 202.74
GRAO_2 201.42
GRAO_3 202.4
GRAO_4 201.2
GRAO_5 200.0
GRAO_6 200.0
GRAO_7 200.0
GRAO_8 200.0
GRAO_9 201.14
GRAO_10 201.68
GRAO_11 200.98
GRAO_12 215.24
GRAO_13 222.68
GRAO_14 220.74
GRAO_15 224.22
GRAO_16 218.9
GRAO_17 208.64
GRAO_18 207.46
GRAO_19 204.86
GRAO_20 202.04
OH_REC_d2.5_d2.7_0.05 213.62
OH_REC_d2.5_d2.9_0.05 211.68
OH_REC_d2.5_d3.1_0.05 209.56
OH_REC_d2.5_d3.3_0.05 211.88
OH_REC_d2.5_d3.5_0.05 205.16
OH_REC_d2.5_d4.0_0.05 202.04
OH_REC_d2.5_d4.5_0.05 214.12
OH_REC_d2.5_d5.0_0.05 206.52
OH_REC_d2.5_d5.5_0.05 237.64
OH_REC_d2.5_d6.0_0.05 250.72
OH_REC_d2.7_d2.9_0.05 202.86
OH_REC_d2.7_d3.1_0.05 202.32
OH_REC_d2.7_d3.3_0.05 200.8
OH_REC_d2.7_d3.5_0.05 200.8
OH_REC_d2.7_d4.0_0.05 200.0
OH_REC_d2.7_d4.5_0.05 200.0
OH_REC_d2.7_d5.0_0.05 201.38
OH_REC_d2.7_d5.5_0.05 234.96
OH_REC_d2.7_d6.0_0.05 248.54
OH_REC_d2.9_d3.1_0.05 200.0
OH_REC_d2.9_d3.3_0.05 200.0
OH_REC_d2.9_d3.5_0.05 200.0
OH_REC_d2.9_d4.0_0.05 203.62
OH_REC_d2.9_d4.5_0.05 201.12
OH_REC_d2.9_d5.0_0.05 207.8
OH_REC_d2.9_d5.5_0.05 236.48
OH_REC_d2.9_d6.0_0.05 249.56
OH_REC_d3.1_d3.3_0.05 200.0
OH_REC_d3.1_d3.5_0.05 200.0
OH_REC_d3.1_d4.0_0.05 207.78
OH_REC_d3.1_d4.5_0.05 201.34
OH_REC_d3.1_d5.0_0.05 210.22
OH_REC_d3.1_d5.5_0.05 220.02
OH_REC_d3.1_d6.0_0.05 246.72
OH_REC_d3.3_d3.5_0.05 200.0
OH_REC_d3.3_d4.0_0.05 202.32
OH_REC_d3.3_d4.5_0.05 209.1
OH_REC_d3.3_d5.0_0.05 207.5
OH_REC_d3.3_d5.5_0.05 219.86
OH_REC_d3.3_d6.0_0.05 241.56
OH_REC_d3.5_d4.0_0.05 200.66
OH_REC_d3.5_d4.5_0.05 201.2
OH_REC_d3.5_d5.0_0.05 208.8
OH_REC_d3.5_d5.5_0.05 215.36
OH_REC_d3.5_d6.0_0.05 230.32
